M,S,G,Q1,Q2,Q3,Q4
34000,95000,211,3518300,8800,68,16504
2000,21000,711,994700,7500,57,777132
3000,20000,216,887900,8300,53,503093
26000,68000,1211,820700,8400,95,336930
29000,91000,176,456200,7600,84,820707
2000,10500,714,2054000,7800,84,1879
134000,274000,675,4708900,9400,102,1139542
19000,162000,259,538300,8800,110,527439
5000,48500,130,3570700,5700,8,227165
2000,10500,434,1278800,6300,53,241413
16000,57500,1100,2125000,7500,98,850888
18000,66000,460,1864300,8400,113,538046
6000,20000,233,768600,6800,46,75598
2000,13000,281,2301100,3800,39,450556
3000,15000,579,3057200,8700,46,284933
8000,32000,1056,52200,7400,109,250974
35000,64500,461,3122700,7200,127,941734
10000,37000,336,2004800,7900,75,208574
3000,10000,271,1900100,7700,70,155555
3000,22000,196,2789600,7200,80,242444
10000,25000,845,4480600,7100,96,6532
105000,208500,428,850500,8500,58,1238684
15000,59500,438,1463400,8600,129,780782
6000,28500,335,1130900,5500,68,761
2000,7500,202,320800,6300,10,221857
5000,36000,217,2936200,8600,16,635758
2000,13500,237,235200,7700,27,466940
302000,670000,420,1578000,9300,114,3220430
39000,70500,161,820700,8000,30,539483
8000,30500,1453,1588000,7200,101,324749
15000,29000,998,613700,6700,62,570116
29000,69500,822,2539500,8800,125,348241
3000,22000,150,301200,8600,34,15804
2000,10500,175,981000,6300,12,97941
15000,33000,1713,3000900,6100,98,641442
2000,31000,194,31600,8000,43,1164838
10000,41000,119,1263700,7200,55,495179
5000,24000,126,1999100,7900,44,11049
2000,11500,482,3570700,5700,12,407303
16000,75000,456,456200,8200,107,689611
2000,7500,194,3570700,6400,10,190084
18000,53000,726,242300,7600,87,371070
127000,316000,356,2789600,8900,142,1394197
5000,23500,134,421100,6900,22,416229
8000,18000,866,784400,6900,68,664806
8000,36000,112,421100,7900,67,90029
18000,32000,727,2732900,7000,76,309164
2000,16000,112,1999100,4300,11,88573
34000,98000,318,3570700,6100,81,779035
5000,15000,884,655100,7200,33,49009
3000,11500,946,820700,5700,31,67012
2000,7500,153,1864300,3100,5,47068
2000,12000,1184,918600,8000,47,139621
11000,32000,167,950000,7300,40,304225
5000,17500,361,4480600,5900,82,33837
2000,20500,281,3792300,6900,30,1183119
56000,107000,244,1950700,8900,53,676207
6000,38000,572,1139100,7700,49,253625
2000,18000,56,194600,6000,65,48178
10000,30500,138,3311300,7900,76,145077
81000,166000,3240,4934700,8100,79,23277
2000,5500,183,2936200,7000,44,65248
6000,16000,522,2231400,3600,33,76996
2000,13000,1015,3311300,5600,46,32724
10000,27000,176,4934700,7700,36,241220
48000,153000,376,1332300,9100,131,582649
2000,9000,908,3792300,3600,8,334360
10000,39000,407,2671700,7600,52,257699
3000,22500,190,52200,6200,68,148496
5000,22000,187,1864300,6800,98,214006
13000,24500,473,379300,7000,89,39995
121000,219000,511,3057200,9300,33,1729826
2000,10500,84,1080000,3500,4,11675
39000,71000,461,1900100,7400,112,941734
3000,13000,126,1298400,7800,28,245463
92000,233500,186,379300,8000,86,1951543
16000,31500,602,3054600,8900,136,395580
73000,199000,356,1578000,8900,118,1394197
11000,25500,474,1278800,8500,94,755977
24000,54000,376,1717000,8400,81,212135
8000,25500,922,2613200,8300,94,172979
2000,7500,167,1252200,6400,5,150368
3000,8500,482,2215700,6200,5,407303
5000,19500,1075,887900,7100,62,136366
34000,75000,410,2704600,9400,97,169441
5000,13500,183,1684000,5600,64,166518
2000,7500,186,2175300,5900,17,283838
5000,15000,445,4645600,5700,78,167598
10000,54000,347,2657500,8000,61,13671
27000,47000,1391,3054600,8300,135,488430
79000,141000,375,2215700,7400,92,872255
2000,12000,140,396300,4900,21,49935
2000,16000,154,320800,7300,55,477063
24000,51500,1366,4575000,8900,111,105605
2000,12000,384,865700,6700,18,471617
87000,324000,211,3570700,8800,74,696622
2000,15000,203,3792300,6400,39,5633
2000,7500,506,2301100,6100,45,9772
2000,9000,188,918600,5800,30,195081
3000,15500,582,2454000,7100,106,37215
10000,31000,1245,1950700,8200,102,447992
29000,104000,1223,1252200,8500,154,401293
32000,60000,659,192800,8300,106,793103
8000,19500,211,192800,8200,50,412632
6000,38000,80,277900,8100,127,29197
2000,11000,118,2835900,6300,23,39964
2000,7500,825,2617100,4500,43,56051
11000,49000,473,3311300,7900,81,940341
2000,7500,112,981000,4600,10,88573
2000,18000,200,3792300,6700,29,163947
10000,33000,120,3311300,7600,69,824187
2000,9000,487,981000,5000,43,224371
8000,19500,432,4480600,7000,91,93023
3000,13000,151,922700,3800,48,84266
16000,58000,141,918600,8700,58,222511
3000,13000,327,4308600,5300,34,149219
2000,8000,130,4708900,3500,3,135717
3000,44000,217,3792300,2600,17,3936
5000,18500,187,918600,6900,67,214006
11000,31000,166,784400,7100,48,192962
2000,9000,776,1263700,6300,36,62276
19000,67500,2147,1999100,6400,85,642451
2000,14500,648,1139100,7700,42,267629
2000,5000,488,4575000,7400,64,9596
3000,10000,452,1263700,3800,12,91161
23000,41500,1391,1842000,8200,123,488430
3000,13000,538,4398900,4900,25,23286
55000,114000,133,2801100,8200,28,171279
23000,43500,917,922700,8200,116,272994
56000,114000,1321,1684000,8200,105,624769
3000,11500,276,1545800,5000,33,26436
2000,10500,817,1842000,5900,89,317271
2000,10500,84,1080000,7200,12,119498
31000,93000,332,2004800,8400,87,916743
5000,13500,1012,1684000,5800,77,149470
15000,34000,525,2397500,7300,92,94900
8000,20500,607,837500,6400,53,16442
2000,7500,235,1797300,5900,46,4221
3000,15000,832,890700,5500,53,396297
35000,74500,1471,1900100,8700,182,4741
3000,27500,617,151300,4200,19,631652
6000,16000,1982,784400,5500,36,564834
335000,546000,511,4934700,9500,105,1729826
126000,186000,1310,784400,9300,144,1650772
266000,775000,623,1263700,9300,120,1808023
8000,19500,126,2525600,7500,46,245463
2000,7500,536,613700,3500,8,91161
15000,110000,203,3792300,7500,65,1969756
2000,9000,195,1263700,5500,11,153980
2000,9000,853,890700,6200,16,164171
2000,23000,238,4708900,8000,32,346384
2000,15000,144,918600,6300,22,230598
3000,14500,275,2492900,6000,37,23149
32000,55000,998,1545800,6900,96,549715
2000,24500,312,31600,8000,33,691706
6000,20000,554,2777700,7400,80,132449
73000,117500,481,2344300,9200,124,752566
2000,9000,725,922700,5500,40,51652
3000,14000,140,1263700,5000,52,49935
2000,9000,515,2175300,5800,69,57822
500000,881000,545,2301100,8600,107,4365238
19000,84500,637,396300,8900,129,1201564
6000,20000,998,1545800,5900,59,95291
2000,7500,639,2671700,6500,38,2048
18000,18000,265,3254500,8300,3,275
3000,20000,148,2657500,4400,51,367328
13000,35000,175,3518300,7700,103,90686
69000,195000,307,2301100,8900,102,1529105
2000,7500,175,1999100,6000,19,97941
48000,105000,189,2088600,8400,38,359080
6000,10000,832,2896100,7200,76,44828
5000,43500,516,320800,7400,40,788296
127000,243000,1288,1864300,8800,149,483316
2000,20500,278,31600,7600,62,720532
2000,9000,442,3207100,6100,92,20071
3000,8500,607,1098100,6000,56,193041
2000,10000,113,1263700,4400,11,89480
8000,16500,699,1504600,5400,67,43805
5000,33000,247,2936200,7700,22,621939
2000,13500,173,1684000,5200,45,462746
6000,21000,1951,1411600,8200,80,280808
15000,41500,1245,3177200,8200,112,447992
6000,26500,563,1999100,6600,72,245264
5000,20000,217,1588000,6900,91,94125
34000,50500,3086,4480600,4900,116,382119
8000,28500,340,981000,7500,69,557725
61000,177000,788,396300,8000,87,1168518
94000,226000,594,3570700,7900,118,457014
3000,14000,224,4645600,7800,73,17777
11000,24000,866,1684000,7200,95,664806
31000,84000,2006,1578000,8600,77,1348716
2000,10500,433,805400,5500,88,2477
3000,25000,317,194600,7500,78,23013
13000,36500,420,922700,7600,76,101055
66000,215000,1521,2301100,8300,111,931417
8000,63000,247,4708900,8000,43,621939
26000,44000,312,1684000,7700,88,385016
3000,11500,884,1588000,7400,40,49009
21000,41000,1085,2344300,7700,104,466603
74000,180000,357,194600,9000,133,823479
8000,22000,173,525000,6600,46,670326
55000,115000,410,4355300,9400,112,169441
29000,116000,651,163700,8500,115,467424
69000,270000,2127,1864300,9200,137,1329383
79000,151000,1048,994700,9500,149,1005204
6000,37000,482,2215700,9100,61,518273
6000,29500,997,981000,6200,47,844248
90000,124000,700,3122700,8700,151,834327
2000,13000,428,421100,5300,28,30366
2000,13500,122,784400,7300,47,5650
2000,7500,186,3518300,5900,18,283838
2000,7500,162,1864300,6100,56,193707
5000,23500,175,1578000,5900,44,181085
3000,17500,1569,719000,8200,71,739705
2000,16000,190,52200,7400,91,65599
3000,17000,167,260800,7300,33,304225
2000,6500,488,2835900,7600,63,9596
34000,55000,564,3382800,7000,120,316575
11000,21000,147,1467500,6500,13,109982
27000,49500,256,4308600,8500,86,10057
5000,13500,112,1684000,5600,16,32760
27000,47000,1576,2936200,8100,69,671633
32000,125000,533,2301100,8700,92,1516735
2000,13000,92,1804500,4200,6,128209
8000,19500,114,1804500,8200,82,62984
2000,17500,477,2777700,5400,25,489
10000,22500,248,322700,7900,81,1106
3000,8500,195,538300,5700,36,176114
10000,18500,1596,3311300,6200,99,303842
16000,48000,326,4398900,7400,72,97852
2000,12000,143,922700,5600,21,384334
27000,83000,1056,52200,8100,145,1003761
2000,7500,179,4645600,8400,77,5293
10000,32500,546,887900,7400,49,589158
6000,21500,186,1748500,8000,98,27136
6000,37000,301,281900,8500,39,2006285
5000,16000,743,4480600,8300,107,3247
2000,9000,173,2215700,5200,3,72774
160000,297500,165,2835900,7800,49,1043453
3000,17000,579,4934700,8800,60,284933
19000,55500,623,2175300,7900,91,669770
2000,17500,187,2215700,5900,66,1361
3000,14000,495,2215700,7400,39,428610
24000,75000,1440,1842000,7600,119,478691
44000,99000,523,1864300,8200,108,975913
18000,35000,1155,1717000,8100,59,438753
2000,17500,234,3570700,6100,54,365492
2000,7500,173,3570700,5300,5,72774
32000,59500,1083,1545800,7800,106,442044
5000,28000,1023,1139100,7000,92,517764
56000,285000,203,3792300,8200,79,5417231
3000,15500,63,1545800,6900,8,439801
24000,42500,732,2657500,8100,135,380699
3000,16000,460,2617100,8000,70,30069
2000,30000,191,31600,6300,37,1007988
6000,32500,216,1804500,8500,77,503093
15000,112000,524,1864300,8000,91,883301
3000,13000,930,784400,7600,27,370537
227000,596000,344,1999100,8500,125,2408730
6000,26000,386,1139100,8500,88,643979
3000,13000,607,192800,6500,51,16442
77000,187000,957,4934700,8300,80,987149
2000,16000,377,918600,6400,35,204611
13000,35000,209,4934700,7700,53,467004
15000,59000,190,396300,7200,35,924460
5000,27500,340,322700,5100,50,25777
129000,251000,274,4934700,8000,86,985658
10000,28000,543,1648500,4500,60,561128
11000,21000,673,2496100,5800,72,118199
8000,22000,322,1210500,7000,67,70234
18000,35000,229,1588000,8000,74,682260
74000,211000,190,4708900,8900,51,357567
11000,36000,910,719000,5600,99,635484
2000,7500,130,3570700,4700,11,98168
2000,9000,451,1139100,7900,65,48840
163000,329000,428,1748500,8300,76,1238684
2000,45000,192,31600,7600,45,820707
3000,13000,616,1463400,5900,58,7701
6000,23500,335,655100,6700,33,779723
19000,35000,289,2454000,7500,125,518565
2000,12000,176,1545800,6400,70,11971
63000,99500,306,4238700,8500,111,326799
5000,23500,154,4708900,6600,35,444809
2000,13000,347,922700,6900,59,598947
2000,9000,945,613700,7200,64,151404
27000,64000,897,3057200,6400,50,597696
6000,23000,348,2671700,7500,82,367178
19000,59000,166,2657500,8000,92,664717
2000,7500,915,3122700,6400,60,67691
15000,45500,230,981000,7700,49,910668
2000,14500,92,887900,3700,7,128209
18000,62000,453,1139100,8200,66,18034
5000,36000,540,538300,4600,60,631652
39000,83000,141,1298400,7900,36,483256
5000,13000,432,2777700,7000,87,93023
2000,13000,196,1578000,7500,60,242444
10000,36000,916,1999100,6700,104,335300
47000,69000,727,4398900,6800,115,309164
3000,13000,616,2657500,5800,59,7701
5000,12000,807,2896100,6100,57,10916
18000,52000,230,1999100,7800,68,910668
13000,50000,1625,2657500,8000,89,860321
5000,24000,476,981000,8700,85,28164
21000,40000,1287,356000,7800,138,373658
37000,63000,672,655100,7400,72,622980
2000,7500,112,2657500,5900,8,934
3000,68000,217,3792300,4700,11,224077
6000,29500,588,52200,7900,118,1073298
60000,144000,2006,2789600,8600,115,1348716
2000,7500,165,805400,5300,39,73152
92000,183000,714,3054600,9500,166,1784743
2000,9000,147,918600,6100,12,166048
2000,16500,166,2175300,6500,3,194305
3000,17000,589,2281200,6600,100,388256
5000,15000,182,2560300,4400,84,108948
73000,150000,392,1950700,8800,104,1247336
2000,9000,582,1252200,7000,87,37215
8000,36500,473,2054000,7900,62,940341
23000,44500,384,890700,8100,67,40535
3000,30000,245,1999100,6100,79,631407
52000,134500,1383,1175400,9000,185,744808
2000,11500,680,2704600,6400,13,1759054
55000,128500,249,281900,8100,55,1503860
10000,66000,270,2657500,8300,112,1995334
2000,10500,231,1080000,5400,36,37394
119000,288000,169,2789600,8800,126,649910
5000,21500,445,260800,5900,30,220062
2000,9000,109,1130900,4800,11,75453
11000,30000,209,1797300,7500,58,360652
5000,12000,466,4645600,4700,70,14073
155000,369000,1828,3238500,9400,142,2363963
3000,11500,217,655100,6500,54,94125
2000,10500,349,784400,7400,46,228284
2000,9000,347,2344300,4900,59,12871
8000,33000,770,281900,5400,91,214370
2000,9000,722,887900,3500,5,22501
27000,46000,606,277900,8200,89,397585
3000,12000,383,2732900,7700,101,5935
11000,18000,796,4480600,7200,108,81138
11000,37000,2141,1999100,7900,97,352519
19000,65000,1100,3440400,7400,116,850888
2000,13500,235,4238700,5900,44,373752
13000,25500,414,1684000,8600,84,114820
5000,16000,1007,2125000,6100,92,305595
2000,38500,130,2215700,6100,5,227165
145000,292000,249,994700,8300,77,1503860
527000,761000,749,3518300,9000,136,2180621
10000,35500,492,981000,7900,106,538747
18000,49500,300,3207100,9100,80,262738
3000,34000,404,918600,8200,87,1815872
2000,12000,347,235200,6800,50,598947
3000,21500,180,1578000,7700,57,1153618
2000,7500,124,1278800,6900,52,25475
3000,14000,243,994700,5700,50,77366
21000,52500,117,2492900,8100,72,394304
2000,7500,529,320800,7600,57,135646
19000,54000,177,3057200,7200,30,469247
5000,55000,412,3792300,3500,6,47904
5000,19000,323,655100,8100,53,603869
2000,10000,453,2801100,4600,38,6661
3000,35500,203,3792300,6800,13,685970
2000,5500,151,2936200,7500,54,18582
13000,65000,224,52200,8800,141,873287
3000,13000,251,31600,7900,32,58648
2000,9000,2020,3792300,7500,66,312
2000,7500,154,2789600,5500,16,64356
2000,12000,259,1139100,4000,18,114640
2000,13000,601,421100,6000,18,299523
18000,47000,345,356000,7900,81,123327
2000,9000,225,2215700,3900,22,396868
5000,14500,406,850500,7800,70,381
2000,12000,817,3054600,5900,94,317271
74000,210000,556,194600,9300,156,922361
2000,12000,175,1263700,5100,30,308925
2000,9000,98,1999100,5000,8,180029
8000,21000,1231,277900,5400,83,540020
2000,10500,280,887900,6400,34,19555
10000,22500,757,922700,7000,50,87643
2000,8000,538,2732900,3000,7,23286
8000,40500,203,3792300,4800,67,315645
5000,32500,154,1139100,7100,83,477063
16000,58000,407,4308600,7500,61,257699
32000,58500,370,3122700,6600,97,405694
32000,148000,432,1864300,8300,49,411958
19000,31000,3086,2777700,5100,86,382119
2000,10500,146,2657500,7000,30,22522
23000,46000,2035,2539500,6700,68,694809
534000,800000,616,3057200,8700,44,4692569
10000,22500,414,784400,8600,56,114820
10000,48000,163,784400,7000,61,513190
2000,7500,341,1842000,5500,53,33
11000,51000,453,320800,8100,49,18034
3000,15500,866,2175300,8300,69,14306
2000,7500,1101,1684000,5700,29,8895
3000,25500,168,2492900,7700,119,241135
63000,123500,386,981000,8700,128,1749217
19000,60000,921,192800,9200,80,922361
2000,7500,728,2777700,6000,12,216245
2000,7500,726,1411600,6200,47,4315
2000,7500,134,1463400,6000,5,152120
5000,13500,251,1210500,6300,83,334974
2000,13500,275,1278800,6200,38,23149
2000,9000,1568,1210500,7500,27,6274
13000,47000,357,2004800,8100,111,670440
3000,11000,453,4525300,4400,42,6661
32000,113000,168,2896100,9000,64,233160
2000,16000,1436,1999100,7700,48,6274
60000,94000,723,2777700,8300,125,58238
11000,26000,1080,219300,6200,59,746269
18000,41000,850,356000,7100,94,123467
15000,33500,175,2175300,7600,89,90686
3000,10000,532,3518300,7600,71,4538
2000,7000,33,4355300,6200,20,8229
8000,54000,188,1979900,8200,77,242674
37000,55000,641,1098100,8300,101,673497
13000,30000,554,4480600,7500,97,132449
5000,13500,1800,887900,6100,38,391657
2000,12000,292,421100,5500,50,55958
53000,88000,1930,2896100,7200,75,225894
10000,31500,342,2492900,6200,93,341566
13000,94000,524,918600,8100,73,883301
5000,10500,796,2777700,7200,92,81138
5000,20500,175,2789600,5700,42,181085
35000,90500,764,890700,8900,110,674410
13000,55500,207,918600,7600,39,513282
2000,10500,195,887900,6200,30,84124
2000,17500,180,1864300,5500,10,1275
2000,7500,202,1139100,6100,11,221857
2000,7500,506,3792300,5900,54,9772
108000,284000,1477,2936200,8500,41,1480378
3000,9000,187,4708900,5800,61,18465
11000,48000,510,194600,8800,100,561962
795000,1363000,545,3792300,8600,137,4365238
10000,35000,345,1130900,8300,72,304545
40000,87500,1695,4308600,8500,103,169907
2000,7500,88,3518300,5200,7,86725
5000,14000,183,4708900,7100,63,65248
2000,13000,159,1864300,7000,8,327421
6000,20000,998,613700,5900,49,95291
29000,81500,462,52200,7300,82,1566700
5000,17000,462,1139100,6400,73,398306
5000,15000,218,2425800,6800,95,38152
11000,24000,169,1467500,6900,28,67486
2000,13500,148,1463400,4300,38,367328
2000,13500,195,1804500,6600,49,84124
2000,7500,151,2301100,5700,7,176797
8000,19500,845,2777700,7000,89,6532
5000,12000,191,721200,3800,17,191088
16000,65500,161,456200,8000,71,1164838
21000,48500,315,1411600,8800,93,1834182
8000,37000,228,887900,8800,34,28203
2000,7500,182,2657500,6300,11,74602
2000,7500,277,2789600,6300,5,22239
3000,13000,244,2301100,5400,3,144712
15000,67000,221,1139100,8000,77,385852
2000,11500,166,1139100,6400,43,232964
74000,156000,133,4525300,8300,37,171279
50000,143000,376,2560300,9100,143,582649
3000,11500,349,1684000,7600,71,228284
2000,9000,232,2617100,7200,66,148530
155000,216000,1470,2397500,8400,136,1345876
6000,43000,194,52200,7000,64,437694
2000,7500,134,2657500,5500,10,152120
16000,35000,197,805400,8100,60,412632
40000,96000,623,3518300,7900,109,669770
5000,12000,913,805400,7800,58,25120
18000,72000,141,1864300,8700,74,222511
10000,28500,284,2671700,6000,31,55669
23000,71000,228,1411600,8400,93,1616915
13000,70500,207,1864300,7700,48,513282
302000,593000,840,1618300,9600,146,2479325
69000,119000,510,805400,8300,126,639700
2000,25000,727,320800,7000,44,1014891
5000,24000,180,2789600,7700,71,1153618
187000,458000,1477,4708900,8400,64,1480378
31000,125000,2127,918600,9000,96,1329383
6000,16000,543,719000,4200,36,561128
2000,19500,210,538300,4900,47,445190
3000,8500,1197,3000900,2800,51,233505
2000,10500,239,2657500,6000,25,366857
3000,18000,715,1578000,4600,44,487737
2000,13000,110,1263700,4800,5,37066
11000,30500,880,1804500,6800,88,240488
8000,34500,343,194600,6500,93,62744
3000,10000,364,2054000,7500,64,91439
10000,22500,314,2004800,7800,87,2241
6000,26500,340,4398900,8700,114,28006
5000,15000,169,525000,6700,19,67486
2000,9000,313,1278800,7200,73,20658
3000,11500,181,1411600,7500,67,2330
5000,11500,382,4525300,6800,58,15055
11000,41000,138,2054000,7900,64,145077
19000,61000,211,2175300,8800,55,16504
2000,6000,361,2777700,5200,9,2
15000,47000,1103,1804500,7700,88,537923
2000,7500,154,1578000,5400,17,64356
2000,9000,188,1864300,6300,51,195081
2000,10500,98,981000,4300,4,180029
3000,14500,1330,1252200,7000,67,121700
10000,24000,1330,2454000,7100,80,121700
103000,145000,888,2397500,8100,135,451502
5000,25000,210,1578000,7800,57,12461
5000,18000,106,1210500,6100,27,459861
2000,9000,1005,1864300,4600,45,92257
2000,9000,225,3570700,4000,30,396868
3000,22500,377,1864300,6900,48,204611
48000,96000,579,456200,8500,97,648530
11000,43000,939,111900,8200,55,467424
2000,17500,700,538300,6900,31,688576
65000,114000,481,1175400,9200,113,752566
76000,145000,813,2704600,8600,85,243024
21000,102000,232,2175300,8700,78,1172663
165000,359000,840,685300,9700,112,2089715
42000,96000,414,2492900,8600,113,850081
3000,28500,168,1278800,7700,82,241135
3000,14500,462,320800,6000,46,398306
3000,23500,258,538300,8100,29,72764
39000,74000,335,1588000,7000,39,779723
13000,54000,194,2215700,7500,59,769387
52000,287000,203,3792300,7400,66,1242470
79000,107500,1401,3177200,8100,98,506824
2000,5000,1594,4575000,5200,81,670
148000,367000,405,3440400,8400,72,3030132
11000,32500,460,379300,6100,112,49260
5000,20500,263,2671700,7100,21,65693
8000,17000,403,2801100,8100,56,1602
3000,30000,249,1578000,6900,44,373675
2000,10500,291,3177200,7400,40,115259
19000,80000,797,1463400,8200,103,907724
3000,18500,67,981000,6900,22,76488
5000,40500,277,3570700,8600,89,1006612
10000,26000,322,2397500,7000,86,70234
34000,69000,272,2617100,8500,107,793713
5000,36000,319,320800,8300,26,534158
2000,5500,382,2801100,6500,45,15055
24000,43000,638,837500,6800,69,503559
6000,50000,90,4480600,4500,6,144409
5000,17500,775,2454000,7600,73,74139
5000,15000,550,2454000,4800,77,25811
24000,77500,190,1263700,7100,60,924460
21000,61500,300,1979900,9100,88,262738
23000,43500,670,1080000,7300,85,546056
45000,105500,729,2613200,8500,122,1178524
2000,13500,159,685300,5400,37,331563
10000,24000,1982,1684000,5400,56,564834
11000,26500,525,1210500,7400,60,94900
18000,43500,335,2281200,5600,91,761
